ocel:eid,ocel:timestamp,ocel:activity,ocel:type:case:concept:name,ocel:type:org:resource,ocel:type:case:repo
1010,2021-01-11 09:41:17+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/195/timeline'],['rensl88'],['pm4py/pm4py-core']
1011,2021-01-11 09:45:54+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/195/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1012,2021-01-11 13:16:44+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/195/timeline'],['rensl88'],['pm4py/pm4py-core']
1013,2021-01-11 15:11:35+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/195/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1014,2021-01-11 16:00:23+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/195/timeline'],['rensl88'],['pm4py/pm4py-core']
1015,2021-01-12 06:41:04+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/195/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1017,2021-01-14 17:22:20+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/196/timeline'],['solterbeck'],['pm4py/pm4py-core']
1018,2021-01-15 06:05:06+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/196/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1016,2021-01-15 10:22:48+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/195/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1027,2021-01-16 08:24:46+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/197/timeline'],['fit-alessandro-berti'],['pm4py/pm4py-core']
1030,2021-01-18 09:45:38+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/198/timeline'],['yanqinghao'],['pm4py/pm4py-core']
